Nível;Indicador;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;Unidade
1;Despesas orçamentárias brutas;;;;;;;;;;;;;
1.1;empenhadas;2297568902.00;2556046760.00;1996036102.00;2933543236.00;1663244704.00;1947221907.00;2003845521.00;1843501870.00;1927770270.00;3048079387.76;3329065053.03;3305688770.76;R$
1.1.1;Correntes;1862487402.00;2078716532.00;1813810890.00;2645637214.00;1640735669.00;1867031432.00;1893464753.00;1767281985.00;1794077360.00;2701820082.51;2872438940.17;3084321849.73;R$
1.1.2;Capital;435081499.70;477330228.20;182225212.30;287906022.50;22509035.11;80190475.32;110380767.20;76219885.50;133692910.00;346259305.25;456626112.86;221366921.03;R$
1.2;liquidadas;2296732048.00;2556046760.00;1996036102.00;2933338758.00;1626921485.00;1947217953.00;2003602760.00;1842063432.00;1855383652.00;2704413305.69;3038507498.1;3235564216.73;R$
1.2.1;Correntes;1862257115.00;2078716532.00;1813810890.00;2645432735.00;1604842051.00;1867027478.00;1893255325.00;1765843546.00;1765171138.00;2447830071.29;2715262685.91;3057729005.59;R$
1.2.2;Capital;434474933.10;477330228.20;182225212.30;287906022.50;22079433.89;80190475.32;110347435.70;76219885.50;90212513.96;256583234.4;323244812.19;177835211.14;R$
1.3;pagas;2252144654.00;2377161023.00;1903393179.00;2898090074.00;1585427139.00;1914517803.00;1850589656.00;1708034776.00;1837272390.00;2680462100.43;2986594674.87;3183699036.93;R$
1.3.1;Correntes;1833365508.00;1948061696.00;1735976800.00;2617711820.00;1563587308.00;1835910078.00;1743031929.00;1645280360.00;1748375023.00;2433124515.07;2681352102.44;3012083943.8;R$
1.3.2;Capital;418779146.00;429099326.40;167416379.60;280378254.20;21839831.01;78607724.98;107557726.80;62754416.02;88897366.16;247337585.36;305242572.43;171615093.13;R$
2;Receitas orçamentárias brutas realizadas;2578418012.10;2831801248.06;2134296182.78;2195548838.89;1706396176.32;2084037964.45;1880991108.72;1705579574.76;2453174901.09;3031580414.72;2984807494.62;2949530786.04;R$
2.1;Correntes;2519152780.99;2567548771.77;1924986641.78;1625032365.14;1702335488.04;1990648243.52;1877484138.84;1703753549.24;2441079243.58;3024713123.71;2980047474.09;2938272118.9;R$
2.1.1;Impostos, Taxas e Contribuições de melhoria;211601060.31;244434613.90;220010609.89;240165704.48;218434220.78;298189572.33;289545271.75;233206286.85;343556902.43;408406143.54;480097778.61;562291759.63;R$
2.1.1.1;Impostos;199522765.98;231661346.48;207665110.12;223267566.41;202800190.39;234817781.92;250549962.28;203496669.42;302930272.42;357512639.43;425092035.73;499521788.98;R$
2.1.1.2;Taxas;12078294.33;12773267.42;12345499.77;16898138.07;15634030.39;34745137.14;38995309.47;29709617.43;40626630.01;50893504.11;55005742.88;62769970.65;R$
2.1.1.3;Contribuição de melhoria;;;;;;28626653.27;;;;;;;R$
2.1.2;Contribuições;45918694.55;52040390.21;66502609.58;87389527.91;58043098.01;65139960.75;95732501.18;96555153.75;118591652.82;124657125.22;142271066.84;159036615.59;R$
2.1.3;Receita patrimonial;115412266.54;135569905.44;164455523.79;192913410.76;143165611.40;15845578.30;13727851.42;2600743.80;12867305.29;138964926.99;146917458.28;92758873.39;R$
2.1.4;Receita agropecuária;;;;;;;;;;;;;R$
2.1.5;Receita industrial;;;;;;;;;;;;;R$
2.1.6;Receita de serviços;10516854.53;10054373.70;12030731.23;24436009.82;22522404.27;23064374.13;1629135.74;959543.60;1178069.72;890346.76;4196316.12;1168427.37;R$
2.1.7;Transferências correntes;2102480677.01;2093788830.74;1441618989.45;1053924137.45;1236273219.99;1578012951.87;1412074715.78;1348711151.36;1949634536.67;2331801027.51;2193165237.11;2087010640.65;R$
2.1.8;Outras receitas correntes;33223228.05;31660657.78;20368177.84;26203574.72;23896933.59;10395806.14;64774662.97;21720669.88;15250776.65;19993553.69;13399617.13;36005802.27;R$
2.2;Capital;17764891.29;264252476.29;209309541.00;570516473.75;4060688.28;13547637.22;3506969.88;1826025.52;12095657.51;6867291.01;4760020.53;11258667.14;R$
2.2.1;Operações de crédito;;;;;;;;;;;;;R$
2.2.2;Alienação de bens;;250000000.00;200880436.17;562244820.56;;;477000.00;;83700.00;2093800;38100;408200;R$
2.2.3;Amortização de empréstimos;14995449.37;12631119.46;2963614.57;5550723.75;1616251.28;1030824.56;1533024.35;1826025.52;2396781.19;4773491.01;4361802.99;4623545.14;R$
2.2.4;Transferências de capital;2769441.92;1621356.83;5465490.26;2720929.44;2444437.00;12516812.66;1496945.53;;6776833.61;;360117.54;6226922;R$
2.2.5;Outras receitas de capital;;;;;;;;;2838342.71;;;;R$



Fonte: Siconfi: Sistema de Informações Contábeis e Fiscais do Setor Público Brasileiro. Brasília, DF, [2024]. Disponível em: https://siconfi.tesouro.gov.br/siconfi/pages/public/consulta_finbra/finbra_list.jsf. Acesso em: jul. 2025
Fonte: Contas anuais. Receitas orçamentárias realizadas (Anexo I-C) 2024 e Despesas orçamentárias empenhadas (Anexo I-D) 2024. In: Brasil. Secretaria do Tesouro Nacional
