arquivo;sha256;tamanho_bytes
ACBIBR15.dbc;02e273450dd3c740cb58d26efa9dfb6cdd1916fe1a6237033da4464b05ab2dba;2757368
ACBIBR16.dbc;489aea30e18eadc2bb55c6b766967fc539449a89573636904b2932aefa1e3e21;2918481
ACBIBR17.dbc;72975c6d9126278c4f95fde9d952bcc29916af237193ce2830934f22bd2c248e;3139906
ACGRBR15.dbc;c485b7fc561b0bde996518e0e45fd8a761bb3f459dd65f5277ad7e65e58f0551;4442569
ACGRBR16.dbc;815cbd6a7c39d0ddc70efd464b0c64533ddcb66f788485605db41bb7e5f89413;4567899
ACGRBR17.dbc;14849b312bc1f9337010c73ea6aba0d55d108bcd99ea4d50bb02337c4dcc298c;5002413
ANIMBR15.dbc;130accca36f7887ed34ec022d1bf43f2189f58656b4ae1b3c14fbd0e023c428d;9868632
ANIMBR16.dbc;81a1793ebad898ea07f785c025496e22d49c54e2106b61a8e80f5c5e1a3cf6c5;10405304
ANIMBR17.dbc;20836a69e1f32edfd7f514d3b1b55c07801fe7d000f6c029698877d85a90688d;13186096
CANCBR15.dbc;45c08609cc1a8983b9bb7943dae77f235ac0913a36da195e8d3683d1b9cd95e4;10774
CANCBR16.dbc;eb7ffa775de87caa4b6f3cc32d9b8ac65875a5a3a66e46035ceba122ae51b03e;15318
CANCBR17.dbc;f89c4d46f55d7ce128dc221a4ebc5eebb1cac7eebdb97927a666a451cbf14378;11909
DERMBR15.dbc;c9ea5b70471df8b34ca885f1dc4e7a1b00dc45ac90786f4e8d8bd152286cfc05;44180
DERMBR16.dbc;48d792e06a4db43b0d0d517806e6de3d2c999a7752065ecfe5e178c51f042cee;30168
DERMBR17.dbc;a1f776e09524f77c2d76670250793b450ca01285fc1485bc936164affdc9d569;26899
LERDBR15.dbc;32ea5438c2235f62dd85cccca0a4d67c9c3f15275df68b836634f38a557185c0;467690
LERDBR16.dbc;ad868b254303b3966106e6d3602b4e81e97947f85a2b64781af68fc57ac5da04;463329
LERDBR17.dbc;2e2cb638bfcc2baec6bafe665c572592b55c1fd3d1fd764a670c119daba01c7d;493094
MENTBR15.dbc;d181671c5c190690f6076984be45a1499bd0d66b85d678591ce11f5c9bb33b3c;52492
MENTBR16.dbc;177392656161785b3422ddf3826f37a4476adb783dde143c67052d71462a5e16;63522
MENTBR17.dbc;1daa886e65fe7521af9ac064e1d65773ea509dc94367c868088583b8cfee8609;83533
PAIRBR15.dbc;363e226e7a93246ae88ec659e3192546892cbbeaccdb677f62d70e6a1830baba;44271
PAIRBR16.dbc;84ffe63d8ed41c2ca5b9cacd61543cf26afa1d76ff38234b193aa782882aaa5a;55891
PAIRBR17.dbc;ccb9d966a901812b0a229924ea55a392b4252a9ccd9f85675cd294fdd1999619;46639
PNEUBR15.dbc;842950542447234fcf50fbb215aef310924786364f449b0ad3104d583ec93d87;18000
PNEUBR16.dbc;9d0f0627c54eded8659985e1b52249943afedfec9be8b0c4071d1d23f30c0b9f;13576
PNEUBR17.dbc;25f981042b0960305c87d63164eff1ade390d53f31bd42a4a8ce912a6af194e8;31564
