autoria;titulo;dados_publicacao;url_acesso;doi
ANTUNES, R.;O privilégio da servidão: o novo proletariado de serviços na era digital.;São Paulo: Boitempo, 2018.;;
BRASIL. INSS.;CAT: dados abertos, competências jul. 2018 a dez. 2025.;Brasília: INSS, 2026a.;https://dados.gov.br/. Acesso em: 18 jul. 2026.;
BRASIL. MS. DATASUS. CNES.;Recursos humanos, profissionais, CBO 2002, Rio de Janeiro.;Brasília: MS, 2026b.;TabNet. Acesso em: 18 jul. 2026.;
"CECILIO, L. C. O.; LACAZ, F. A. C.";O trabalho em saúde.;Rio de Janeiro: Cebes, 2012.;;
IBGE.;Sistema IBGE de Recuperação Automática (SIDRA).;Rio de Janeiro: IBGE, 2026.;https://sidra.ibge.gov.br. Acesso em: 18 jul. 2026.;
LEMOS, M. R.;Estratificação social na teoria de Max Weber: considerações em torno do tema.;Revista Iluminart, ano 4, n. 9, p. 113-128, nov. 2012.;;
LOURENÇO, G. G.;O fim do fim do trabalho.;Primeiros Estudos, n. 3, p. 104-121, 2012.;https://doi.org/10.11606/issn.2237-2423.v0i3p104-121;10.11606/issn.2237-2423.v0i3p104-121
"MARTINS, S.; HASENCLEVER, L.; MIRANDA, C.";A gestão da saúde à luz da instabilidade de financiamento e das propostas de governo.;Cadernos do Desenvolvimento Fluminense, n. 27, 2024.;https://doi.org/10.12957/cdf.2024.87352;10.12957/cdf.2024.87352
"MENDES, R.; DIAS, E. C.";Da medicina do trabalho à saúde do trabalhador.;Revista de Saúde Pública, v. 25, n. 5, p. 341-349, 1991.;https://doi.org/10.1590/S0034-89101991000500003;10.1590/S0034-89101991000500003
OLIVEIRA, E. M.;Transformações no mundo do trabalho, da Revolução Industrial aos nossos dias.;Caminhos de Geografia, v. 6, n. 11, p. 84-96, fev. 2004.;https://doi.org/10.14393/rcg51115327;10.14393/rcg51115327
"SILVA, J. E. M. da; HASENCLEVER, L.";Ciclo do petróleo e desenvolvimento socioeconômico no município de Campos dos Goytacazes (1999-2014).;Desenvolvimento em Questão, v. 17, n. 46, p. 314-332, 2019.;https://doi.org/10.21527/2237-6453.2019.46.314-332;10.21527/2237-6453.2019.46.314-332
VEDOVATO, T. G. et al.;Trabalhadores(as) da saúde e a COVID-19: condições de trabalho à deriva?;Revista Brasileira de Saúde Ocupacional, v. 46, e1, 2021.;https://doi.org/10.1590/2317-6369000028520;10.1590/2317-6369000028520
