Categoria;2018;2019;2020;2021;2022;2023;2024;2025;Total
Agentes comunitarios de saude e afins;593;364;539;511;562;473;280;379;3701
Agentes de combate às endemias;0;0;0;0;0;99;337;200;636
Biologia;60;69;68;69;69;67;69;72;543
Biomedicina;1;2;3;2;6;5;5;7;31
Diagnostico e laboratorio - tecnicos e auxiliares;509;526;592;593;575;605;638;626;4664
Educacao fisica;103;129;92;91;152;187;240;271;1265
Enfermagem - enfermeiros;895;909;1104;1043;986;1031;1019;992;7979
Enfermagem - tecnicos e auxiliares;3644;4001;4059;4214;4089;4115;4073;4068;32263
Farmacia;417;426;473;501;522;503;515;542;3899
Farmacia - tecnicos e auxiliares;279;265;262;298;295;306;340;336;2381
Fisioterapia;359;377;406;409;430;438;467;474;3360
Fonoaudiologia;64;77;77;74;86;87;104;96;665
Instrumentacao cirurgica;17;20;22;28;24;31;34;45;221
Medicina;1438;1360;1282;1244;1192;1156;1121;1099;9892
Medicina veterinaria;7;7;8;10;10;14;15;17;88
Nutricao;123;192;208;211;263;258;302;311;1868
Odontologia e saude bucal;710;691;661;720;686;692;695;688;5543
Psicologia;197;209;206;189;223;230;243;241;1738
Servico social;399;392;402;396;402;401;406;403;3201
