Indicador;2024;2025;2026;Var 2024-2026;Tendencia
IPS Global;62.37;62.19;62.68;+0.31;melhora
Necessidades Humanas Basicas;71.96;71.24;71.20;-0.76;piora
Fundamentos do Bem-estar;66.52;64.86;68.22;+1.70;melhora
Oportunidades;48.62;50.45;48.63;+0.01;melhora
Nutricao e Cuidados Medicos;66.29;66.39;67.71;+1.42;melhora
Saude e Bem-estar;57.43;58.59;58.90;+1.47;melhora
Seguranca Pessoal;56.35;54.53;52.77;-3.58;piora
Acesso ao Conhecimento Basico;66.07;66.17;69.48;+3.41;melhora
Direitos Individuais;46.39;44.62;51.92;+5.53;melhora
Inclusao Social;50.25;50.67;47.55;-2.70;piora
Acesso a Educacao Superior;41.60;47.37;43.32;+1.72;melhora
Homicidios (por 100 mil);24.61;27.88;25.28;+0.67;piora
Mortes no Transito (por 100 mil);23.37;23.20;22.51;-0.86;melhora
Mortalidade Infantil ate 5 anos;20.44;19.17;20.34;-0.10;melhora
Hospitalizacoes CSAP;609.55;882.81;882.81;+273.26;piora
Expectativa de Vida;74.82;74.82;74.82;+0.00;estavel
